City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,bontang,0.1333,117.5,28.33,72,97,2.45,ID,1670205755
306,kiruna,67.8557,20.2251,-7.49,86,100,4.63,SE,1670205755
307,baglan,36.1307,68.7083,2.36,55,100,1.82,AF,1670205756
308,sangar,63.9242,127.4739,-29.82,93,100,5.54,RU,1670205756
309,mitchelstown,52.2658,-8.2681,6.13,86,100,3.23,IE,1670205757
310,port alfred,-33.5906,26.891,17.88,89,100,0.45,ZA,1670205757
311,hervey bay,-25.2986,152.8535,25.01,65,34,4.56,AU,1670205758
312,lorengau,-2.0226,147.2712,28.5,72,82,2.15,PG,1670205758
313,lubben,51.95,13.9,3.47,92,100,2.57,DE,1670205759
314,coquimbo,-29.9533,-71.3436,15.85,94,75,2.06,CL,1670205196
315,severo-yeniseyskiy,60.3725,93.0408,-21.63,99,100,1.93,RU,1670205759
316,vanavara,60.34,102.2797,-13.55,89,100,5.06,RU,1670205680
317,chandbali,20.7833,86.7667,19.62,45,5,3.77,IN,1670205760
318,luang prabang,19.8856,102.1347,24.73,70,9,1.01,LA,1670205697
319,trairi,-3.2778,-39.2689,26.26,76,93,6.19,BR,1670205663
320,flagstaff,35.1981,-111.6513,7.8,89,75,4.12,US,1670205620
321,sola,-13.8833,167.55,28.21,68,69,6.08,VU,1670205761
322,wabag,-5.4781,143.7021,18.85,77,90,1.61,PG,1670205762
323,nome,64.5011,-165.4064,0.09,98,100,14.26,US,1670205762
324,yar-sale,66.8333,70.8333,-7.47,88,100,5.2,RU,1670205763
325,holme,56.1138,10.1725,3.76,88,100,7.19,DK,1670205764
326,chipinge,-20.1883,32.6236,17.11,77,12,1.99,ZW,1670205764
327,shenandoah,30.4013,-91.0009,19.95,95,100,0.85,US,1670205764
328,poya,-21.35,165.15,29.88,67,82,2.87,NC,1670205765
329,amazar,53.858,120.875,-22.55,85,93,1.72,RU,1670205766
330,mut,36.6439,33.4389,10.35,59,2,1.39,TR,1670205766
331,fergus falls,46.283,-96.0776,-0.96,78,0,3.13,US,1670205767
332,gusinoye ozero,51.1144,106.2614,-20.31,91,40,1.61,RU,1670205767
333,sujangarh,27.7011,74.4649,13.87,34,0,2.0,IN,1670205768
334,baiyin,36.5583,104.2081,-2.48,37,87,1.03,CN,1670205768
335,doha,25.2867,51.5333,22.99,68,0,1.03,QA,1670205668
336,naze,28.3667,129.4833,19.51,88,97,6.29,JP,1670205472
337,waingapu,-9.6567,120.2641,29.51,63,98,2.55,ID,1670205515
338,alice springs,-23.7,133.8833,34.75,11,0,5.14,AU,1670205681
339,goderich,43.7501,-81.7165,3.28,50,100,12.6,CA,1670205770
340,hofn,64.2539,-15.2082,4.93,46,64,5.35,IS,1670205523
341,manggar,-2.8833,108.2667,27.33,78,100,0.48,ID,1670205771
342,mehamn,71.0357,27.8492,-5.05,79,35,7.2,NO,1670205771
343,saint-pierre,-21.3393,55.4781,23.28,53,0,3.09,RE,1670205771
344,sao filipe,14.8961,-24.4956,22.03,65,94,1.76,CV,1670205772
345,kutum,14.2,24.6667,15.15,30,50,3.76,SD,1670205772
346,victoria,22.2855,114.1577,19.03,77,100,7.6,HK,1670205680
347,manuk mangkaw,4.8,119.85,28.05,77,81,3.4,PH,1670205773
348,labuhan,-6.8844,112.2051,28.71,74,98,2.54,ID,1670205773
349,oktyabrskoye,43.0645,44.7417,-3.92,100,97,5.0,RU,1670205520
350,provideniya,64.3833,-173.3,0.52,99,100,5.4,RU,1670205774
351,petropavlovsk-kamchatskiy,53.0452,158.6483,-11.67,52,0,4.0,RU,1670205775
352,broome,42.2506,-75.833,0.37,68,0,3.6,US,1670205775
353,okha,53.5739,142.9478,-19.34,83,61,9.27,RU,1670205775
354,severnyy,50.677,36.5532,-11.98,79,0,4.0,RU,1670205776
355,tinskoy,56.1525,96.9161,-20.24,96,11,2.0,RU,1670205776
356,adrar,20.5022,-10.0711,21.05,23,2,1.76,MR,1670205777
357,mombaca,-5.7431,-39.6275,25.65,71,47,3.47,BR,1670205777
358,santa fe,-31.6333,-60.7,28.34,57,0,0.45,AR,1670205778
359,ialibu,-6.2821,143.9935,19.11,78,99,2.14,PG,1670205778
360,pudozh,61.8099,36.5345,-6.19,94,100,3.54,RU,1670205779
361,findlay,41.0442,-83.6499,-0.2,65,0,4.12,US,1670205723
362,petrolia,42.8668,-82.1498,0.43,46,37,7.33,CA,1670205780
